"product_type","brand","eshop_url"
"Potah","Joola","https://joola.com/"
"Potah","Joola","https://www.stoten.cz/"
"Dřevo","Joola","https://joola.com/"
"Dřevo","Joola","https://www.stoten.cz/"
"Taška","Joola","https://joola.com/"
"Taška","Joola","https://www.stoten.cz/"
"Batoh","Joola","https://joola.com/"
"Batoh","Joola","https://www.stoten.cz/"
"Pouzdro","Joola","https://joola.com/"
"Pouzdro","Joola","https://www.stoten.cz/"
"Míčky","Joola","https://joola.com/"
"Míčky","Joola","https://www.stoten.cz/"
"Boty","Joola","https://joola.com/"
"Boty","Joola","https://www.stoten.cz/"
"Čistič","Joola","https://joola.com/"
"Čistič","Joola","https://www.stoten.cz/"
"Lepidlo","Joola","https://joola.com/"
"Lepidlo","Joola","https://www.stoten.cz/"
"Počítadlo","Joola","https://joola.com/"
"Počítadlo","Joola","https://www.stoten.cz/"
"Síťka","Joola","https://joola.com/"
"Síťka","Joola","https://www.stoten.cz/"
"Textil","Joola","https://joola.com/"
"Textil","Joola","https://www.stoten.cz/"
"Potah","Dr. Neubauer","https://www.drneubauer.com/"
"Potah","Dr. Neubauer","https://www.sportspin.cz/"
"Dřevo","Dr. Neubauer","https://www.drneubauer.com/"
"Dřevo","Dr. Neubauer","https://www.sportspin.cz/"
"Taška","Dr. Neubauer","https://www.drneubauer.com/"
"Taška","Dr. Neubauer","https://www.sportspin.cz/"
"Batoh","Dr. Neubauer","https://www.drneubauer.com/"
"Batoh","Dr. Neubauer","https://www.sportspin.cz/"
"Pouzdro","Dr. Neubauer","https://www.drneubauer.com/"
"Pouzdro","Dr. Neubauer","https://www.sportspin.cz/"
"Míčky","Dr. Neubauer","https://www.drneubauer.com/"
"Míčky","Dr. Neubauer","https://www.sportspin.cz/"
"Boty","Dr. Neubauer","https://www.drneubauer.com/"
"Boty","Dr. Neubauer","https://www.sportspin.cz/"
"Čistič","Dr. Neubauer","https://www.drneubauer.com/"
"Čistič","Dr. Neubauer","https://www.sportspin.cz/"
"Lepidlo","Dr. Neubauer","https://www.drneubauer.com/"
"Lepidlo","Dr. Neubauer","https://www.sportspin.cz/"
"Počítadlo","Dr. Neubauer","https://www.drneubauer.com/"
"Počítadlo","Dr. Neubauer","https://www.sportspin.cz/"
"Síťka","Dr. Neubauer","https://www.drneubauer.com/"
"Síťka","Dr. Neubauer","https://www.sportspin.cz/"
"Textil","Dr. Neubauer","https://www.drneubauer.com/"
"Textil","Dr. Neubauer","https://www.sportspin.cz/"
"Potah","Andro","https://www.sportspin.cz/"
"Dřevo","Andro","https://www.sportspin.cz/"
"Taška","Andro","https://www.sportspin.cz/"
"Batoh","Andro","https://www.sportspin.cz/"
"Pouzdro","Andro","https://www.sportspin.cz/"
"Míčky","Andro","https://www.sportspin.cz/"
"Boty","Andro","https://www.sportspin.cz/"
"Čistič","Andro","https://www.sportspin.cz/"
"Lepidlo","Andro","https://www.sportspin.cz/"
"Počítadlo","Andro","https://www.sportspin.cz/"
"Síťka","Andro","https://www.sportspin.cz/"
"Textil","Andro","https://www.sportspin.cz/"
"Potah","Tibhar","https://www.sportspin.cz/"
"Dřevo","Tibhar","https://www.sportspin.cz/"
"Taška","Tibhar","https://www.sportspin.cz/"
"Batoh","Tibhar","https://www.sportspin.cz/"
"Pouzdro","Tibhar","https://www.sportspin.cz/"
"Míčky","Tibhar","https://www.sportspin.cz/"
"Boty","Tibhar","https://www.sportspin.cz/"
"Čistič","Tibhar","https://www.sportspin.cz/"
"Lepidlo","Tibhar","https://www.sportspin.cz/"
"Počítadlo","Tibhar","https://www.sportspin.cz/"
"Síťka","Tibhar","https://www.sportspin.cz/"
"Textil","Tibhar","https://www.sportspin.cz/"
"Potah","Xiom","https://www.sportspin.cz/"
"Dřevo","Xiom","https://www.sportspin.cz/"
"Taška","Xiom","https://www.sportspin.cz/"
"Batoh","Xiom","https://www.sportspin.cz/"
"Pouzdro","Xiom","https://www.sportspin.cz/"
"Míčky","Xiom","https://www.sportspin.cz/"
"Boty","Xiom","https://www.sportspin.cz/"
"Čistič","Xiom","https://www.sportspin.cz/"
"Lepidlo","Xiom","https://www.sportspin.cz/"
"Počítadlo","Xiom","https://www.sportspin.cz/"
"Síťka","Xiom","https://www.sportspin.cz/"
"Textil","Xiom","https://www.sportspin.cz/"
"Potah","Victas","https://www.sportspin.cz/"
"Dřevo","Victas","https://www.sportspin.cz/"
"Taška","Victas","https://www.sportspin.cz/"
"Batoh","Victas","https://www.sportspin.cz/"
"Pouzdro","Victas","https://www.sportspin.cz/"
"Míčky","Victas","https://www.sportspin.cz/"
"Boty","Victas","https://www.sportspin.cz/"
"Čistič","Victas","https://www.sportspin.cz/"
"Lepidlo","Victas","https://www.sportspin.cz/"
"Počítadlo","Victas","https://www.sportspin.cz/"
"Síťka","Victas","https://www.sportspin.cz/"
"Textil","Victas","https://www.sportspin.cz/"
"Potah","Butterfly","https://www.vsenastolnitenis.cz/"
"Dřevo","Butterfly","https://www.vsenastolnitenis.cz/"
"Taška","Butterfly","https://www.vsenastolnitenis.cz/"
"Batoh","Butterfly","https://www.vsenastolnitenis.cz/"
"Pouzdro","Butterfly","https://www.vsenastolnitenis.cz/"
"Míčky","Butterfly","https://www.vsenastolnitenis.cz/"
"Boty","Butterfly","https://www.vsenastolnitenis.cz/"
"Čistič","Butterfly","https://www.vsenastolnitenis.cz/"
"Lepidlo","Butterfly","https://www.vsenastolnitenis.cz/"
"Počítadlo","Butterfly","https://www.vsenastolnitenis.cz/"
"Síťka","Butterfly","https://www.vsenastolnitenis.cz/"
"Textil","Butterfly","https://www.vsenastolnitenis.cz/"
"Potah","Stiga","https://www.vsenastolnitenis.cz/"
"Dřevo","Stiga","https://www.vsenastolnitenis.cz/"
"Taška","Stiga","https://www.vsenastolnitenis.cz/"
"Batoh","Stiga","https://www.vsenastolnitenis.cz/"
"Pouzdro","Stiga","https://www.vsenastolnitenis.cz/"
"Míčky","Stiga","https://www.vsenastolnitenis.cz/"
"Boty","Stiga","https://www.vsenastolnitenis.cz/"
"Čistič","Stiga","https://www.vsenastolnitenis.cz/"
"Lepidlo","Stiga","https://www.vsenastolnitenis.cz/"
"Počítadlo","Stiga","https://www.vsenastolnitenis.cz/"
"Síťka","Stiga","https://www.vsenastolnitenis.cz/"
"Textil","Stiga","https://www.vsenastolnitenis.cz/"
"Stůl","Stiga","https://www.vsenastolnitenis.cz/"
"Stolek pro rozhodčí","Stiga","https://www.vsenastolnitenis.cz/"
"Potah","Donic","https://www.vsenastolnitenis.cz/"
"Dřevo","Donic","https://www.vsenastolnitenis.cz/"
"Taška","Donic","https://www.vsenastolnitenis.cz/"
"Batoh","Donic","https://www.vsenastolnitenis.cz/"
"Pouzdro","Donic","https://www.vsenastolnitenis.cz/"
"Míčky","Donic","https://www.vsenastolnitenis.cz/"
"Boty","Donic","https://www.vsenastolnitenis.cz/"
"Čistič","Donic","https://www.vsenastolnitenis.cz/"
"Lepidlo","Donic","https://www.vsenastolnitenis.cz/"
"Počítadlo","Donic","https://www.vsenastolnitenis.cz/"
"Síťka","Donic","https://www.vsenastolnitenis.cz/"
"Textil","Donic","https://www.vsenastolnitenis.cz/"
"Stůl","Donic","https://www.vsenastolnitenis.cz/"
"Stolek pro rozhodčí","Donic","https://www.vsenastolnitenis.cz/"
"Potah","Gewo","https://www.contra.de/"
"Dřevo","Gewo","https://www.contra.de/"
"Taška","Gewo","https://www.contra.de/"
"Batoh","Gewo","https://www.contra.de/"
"Pouzdro","Gewo","https://www.contra.de/"
"Míčky","Gewo","https://www.contra.de/"
"Boty","Gewo","https://www.contra.de/"
"Čistič","Gewo","https://www.contra.de/"
"Lepidlo","Gewo","https://www.contra.de/"
"Počítadlo","Gewo","https://www.contra.de/"
"Síťka","Gewo","https://www.contra.de/"
"Textil","Gewo","https://www.contra.de/"
"Potah","Hallmark","https://www.contra.de/"
"Dřevo","Hallmark","https://www.contra.de/"
"Taška","Hallmark","https://www.contra.de/"
"Batoh","Hallmark","https://www.contra.de/"
"Pouzdro","Hallmark","https://www.contra.de/"
"Míčky","Hallmark","https://www.contra.de/"
"Boty","Hallmark","https://www.contra.de/"
"Čistič","Hallmark","https://www.contra.de/"
"Lepidlo","Hallmark","https://www.contra.de/"
"Počítadlo","Hallmark","https://www.contra.de/"
"Síťka","Hallmark","https://www.contra.de/"
"Textil","Hallmark","https://www.contra.de/"
"Potah","Gewo","https://www.gewo-tt.com/"
"Dřevo","Gewo","https://www.gewo-tt.com/"
"Taška","Gewo","https://www.gewo-tt.com/"
"Batoh","Gewo","https://www.gewo-tt.com/"
"Pouzdro","Gewo","https://www.gewo-tt.com/"
"Míčky","Gewo","https://www.gewo-tt.com/"
"Boty","Gewo","https://www.gewo-tt.com/"
"Čistič","Gewo","https://www.gewo-tt.com/"
"Lepidlo","Gewo","https://www.gewo-tt.com/"
"Počítadlo","Gewo","https://www.gewo-tt.com/"
"Síťka","Gewo","https://www.gewo-tt.com/"
"Textil","Gewo","https://www.gewo-tt.com/"
"Potah","Nittaku","https://nittaku.tt/en"
"Dřevo","Nittaku","https://nittaku.tt/en"
"Taška","Nittaku","https://nittaku.tt/en"
"Batoh","Nittaku","https://nittaku.tt/en"
"Pouzdro","Nittaku","https://nittaku.tt/en"
"Míčky","Nittaku","https://nittaku.tt/en"
"Boty","Nittaku","https://nittaku.tt/en"
"Čistič","Nittaku","https://nittaku.tt/en"
"Lepidlo","Nittaku","https://nittaku.tt/en"
"Počítadlo","Nittaku","https://nittaku.tt/en"
"Síťka","Nittaku","https://nittaku.tt/en"
"Textil","Nittaku","https://nittaku.tt/en"
"Míčky","Joola","https://joola.com/"
"Míčky","Joola","https://www.stoten.cz/"
"Boty","Joola","https://joola.com/"
"Boty","Joola","https://www.stoten.cz/"
"Čistič","Joola","https://joola.com/"
"Čistič","Joola","https://www.stoten.cz/"
"Lepidlo","Joola","https://joola.com/"
"Lepidlo","Joola","https://www.stoten.cz/"
"Počítadlo","Joola","https://joola.com/"
"Počítadlo","Joola","https://www.stoten.cz/"
"Síťka","Joola","https://joola.com/"
"Síťka","Joola","https://www.stoten.cz/"
"Míčky","Dr. Neubauer","https://www.drneubauer.com/"
"Míčky","Dr. Neubauer","https://www.sportspin.cz/"
"Boty","Dr. Neubauer","https://www.drneubauer.com/"
"Boty","Dr. Neubauer","https://www.sportspin.cz/"
"Čistič","Dr. Neubauer","https://www.drneubauer.com/"
"Čistič","Dr. Neubauer","https://www.sportspin.cz/"
"Lepidlo","Dr. Neubauer","https://www.drneubauer.com/"
"Lepidlo","Dr. Neubauer","https://www.sportspin.cz/"
"Počítadlo","Dr. Neubauer","https://www.drneubauer.com/"
"Počítadlo","Dr. Neubauer","https://www.sportspin.cz/"
"Síťka","Dr. Neubauer","https://www.drneubauer.com/"
"Síťka","Dr. Neubauer","https://www.sportspin.cz/"
"Míčky","Andro","https://www.sportspin.cz/"
"Boty","Andro","https://www.sportspin.cz/"
"Čistič","Andro","https://www.sportspin.cz/"
"Lepidlo","Andro","https://www.sportspin.cz/"
"Počítadlo","Andro","https://www.sportspin.cz/"
"Síťka","Andro","https://www.sportspin.cz/"
"Míčky","Tibhar","https://www.sportspin.cz/"
"Boty","Tibhar","https://www.sportspin.cz/"
"Čistič","Tibhar","https://www.sportspin.cz/"
"Lepidlo","Tibhar","https://www.sportspin.cz/"
"Počítadlo","Tibhar","https://www.sportspin.cz/"
"Síťka","Tibhar","https://www.sportspin.cz/"
"Míčky","Xiom","https://www.sportspin.cz/"
"Boty","Xiom","https://www.sportspin.cz/"
"Čistič","Xiom","https://www.sportspin.cz/"
"Lepidlo","Xiom","https://www.sportspin.cz/"
"Počítadlo","Xiom","https://www.sportspin.cz/"
"Síťka","Xiom","https://www.sportspin.cz/"
"Míčky","Victas","https://www.sportspin.cz/"
"Boty","Victas","https://www.sportspin.cz/"
"Čistič","Victas","https://www.sportspin.cz/"
"Lepidlo","Victas","https://www.sportspin.cz/"
"Počítadlo","Victas","https://www.sportspin.cz/"
"Síťka","Victas","https://www.sportspin.cz/"
"Míčky","Butterfly","https://www.vsenastolnitenis.cz/"
"Boty","Butterfly","https://www.vsenastolnitenis.cz/"
"Čistič","Butterfly","https://www.vsenastolnitenis.cz/"
"Lepidlo","Butterfly","https://www.vsenastolnitenis.cz/"
"Počítadlo","Butterfly","https://www.vsenastolnitenis.cz/"
"Síťka","Butterfly","https://www.vsenastolnitenis.cz/"
"Míčky","Stiga","https://www.vsenastolnitenis.cz/"
"Boty","Stiga","https://www.vsenastolnitenis.cz/"
"Čistič","Stiga","https://www.vsenastolnitenis.cz/"
"Lepidlo","Stiga","https://www.vsenastolnitenis.cz/"
"Počítadlo","Stiga","https://www.vsenastolnitenis.cz/"
"Síťka","Stiga","https://www.vsenastolnitenis.cz/"
"Míčky","Donic","https://www.vsenastolnitenis.cz/"
"Boty","Donic","https://www.vsenastolnitenis.cz/"
"Čistič","Donic","https://www.vsenastolnitenis.cz/"
"Lepidlo","Donic","https://www.vsenastolnitenis.cz/"
"Počítadlo","Donic","https://www.vsenastolnitenis.cz/"
"Síťka","Donic","https://www.vsenastolnitenis.cz/"
"Míčky","Gewo","https://www.contra.de/"
"Boty","Gewo","https://www.contra.de/"
"Čistič","Gewo","https://www.contra.de/"
"Lepidlo","Gewo","https://www.contra.de/"
"Počítadlo","Gewo","https://www.contra.de/"
"Síťka","Gewo","https://www.contra.de/"
"Míčky","Hallmark","https://www.contra.de/"
"Boty","Hallmark","https://www.contra.de/"
"Čistič","Hallmark","https://www.contra.de/"
"Lepidlo","Hallmark","https://www.contra.de/"
"Počítadlo","Hallmark","https://www.contra.de/"
"Síťka","Hallmark","https://www.contra.de/"
"Míčky","Gewo","https://www.gewo-tt.com/"
"Boty","Gewo","https://www.gewo-tt.com/"
"Čistič","Gewo","https://www.gewo-tt.com/"
"Lepidlo","Gewo","https://www.gewo-tt.com/"
"Počítadlo","Gewo","https://www.gewo-tt.com/"
"Síťka","Gewo","https://www.gewo-tt.com/"
"Míčky","Nittaku","https://nittaku.tt/en"
"Boty","Nittaku","https://nittaku.tt/en"
"Čistič","Nittaku","https://nittaku.tt/en"
"Lepidlo","Nittaku","https://nittaku.tt/en"
"Počítadlo","Nittaku","https://nittaku.tt/en"
"Síťka","Nittaku","https://nittaku.tt/en"

